ProductCode,Invoice Number,Units,Pieces,Grade,Date
1LOM5CL,3026674,5040,0,DEALER,12/20/2012
7LOM8,3026675,2268,0,DEALER,12/20/2012
7LSH,3026675,1008,0,DEALER,12/20/2012
7PSMSE,3026675,135,0,DEALER,12/20/2012
4TOS2,3026675,880,0,DEALER,12/20/2012
4TOS4,3026675,720,0,DEALER,12/20/2012
4TOS8,3026675,960,0,DEALER,12/20/2012
4TOS10,3026675,200,0,DEALER,12/20/2012
4TOS12,3026675,320,0,DEALER,12/20/2012
5TOS4,3026675,432,0,DEALER,12/20/2012
4FOM8,3026675,480,0,DEALER,12/20/2012
7POMSE,3026675,225,0,DEALER,12/20/2012
1LOMSG4,3026675,560,0,DEALER,12/20/2012
1LOM126CL,3026663,140,0,DEALER,1/7/2013
7POM348,3026663,45,0,DEALER,1/7/2013
7LOMSF,3026663,252,0,DEALER,1/7/2013
7LSM,3026663,168,0,DEALER,1/7/2013
4TOS6,3026663,160,0,DEALER,1/7/2013
1LOM124CL,3026664,140,0,DEALER,1/7/2013
1LOM126CL,3026664,140,0,DEALER,1/7/2013
7PSMSE,3026664,45,0,DEALER,1/7/2013
7POM348,3026664,135,0,DEALER,1/7/2013
7POMSE,3026664,180,0,DEALER,1/7/2013
7LSM,3026664,336,0,DEALER,1/7/2013
1LOM5CL,3026683,105,0,DEALER,1/7/2013
7POMSP,3026683,225,0,DEALER,1/7/2013
4TOS496,3026684,192,0,DEALER,1/7/2013
1LOM5CL,3026684,630,0,DEALER,1/7/2013
7POMSP,3026684,945,0,DEALER,1/7/2013
4TOS496,3026685,384,0,DEALER,1/7/2013
1LOMSA8,3026685,420,0,DEALER,1/7/2013
7POMSP,3026685,1890,0,DEALER,1/7/2013
1LOM5CL12,3026685,315,0,DEALER,1/7/2013
4TOS496,3026686,576,0,DEALER,1/7/2013
1LOMSA8,3026686,420,0,DEALER,1/7/2013
7POMSP,3026686,1395,0,DEALER,1/7/2013
1LOM124CL,3026719,140,0,DEALER,12/18/2012
7LOM12,3026719,336,0,DEALER,12/18/2012
7POM348,3026719,630,0,DEALER,12/18/2012
7POM348,3026719,40,0,DEALER,12/18/2012
4TOS6,3026720,160,0,DEALER,1/4/2013
4TOS8,3026720,120,0,DEALER,1/4/2013
5TOS4,3026720,648,0,DEALER,1/4/2013
1LSHCRT,3026720,360,0,DEALER,1/4/2013
1LOM5CL,3026720,945,0,DEALER,1/4/2013
7LOM12,3026765,168,0,DEALER,1/8/2013
7LOMSF,3026832,504,0,DEALER,1/2/2013
7LSH,3026832,1680,0,DEALER,1/2/2013
7POMSE,3026832,900,0,DEALER,1/2/2013
4TOS4,3026832,2880,0,DEALER,1/2/2013
4TOS6,3026832,320,0,DEALER,1/2/2013
4TOS8,3026832,360,0,DEALER,1/2/2013
4TOS10,3026832,100,0,DEALER,1/2/2013
4TOS12,3026832,80,0,DEALER,1/2/2013
5TOS4,3026832,432,0,DEALER,1/2/2013
1LOM5CL,3026833,315,0,DEALER,1/4/2013
1LOM8CL,3026833,210,0,DEALER,1/4/2013
1LSH,3026833,280,0,DEALER,1/4/2013
1LOMSA12,3026833,140,0,DEALER,1/4/2013
5TOS8,3026833,108,0,DEALER,1/4/2013
5TOS4,3026833,216,0,DEALER,1/4/2013
7LOM8,3026834,252,0,DEALER,1/4/2013
7LOM12,3026834,504,0,DEALER,1/4/2013
1LOM126CL,3026834,140,0,DEALER,1/4/2013
1LOM124CL,3026834,140,0,DEALER,1/4/2013
7LSM,3026834,2520,0,DEALER,1/4/2013
7LSM,3026834,144,0,DEALER,1/4/2013
4TOS4,3026834,480,0,DEALER,1/4/2013
5TOS4,3026834,216,0,DEALER,1/4/2013
5TOS6,3026834,144,0,DEALER,1/4/2013
7POM348,3026834,810,0,DEALER,1/4/2013
7POMRBB8,3026834,135,0,DEALER,1/4/2013
7PSMSE,3026834,45,0,DEALER,1/4/2013
7POM347,3026834,90,0,DEALER,1/4/2013
7POM349,3026834,450,0,DEALER,1/4/2013
1LOMSG4,3026834,840,0,DEALER,1/4/2013
7LOM8,3026876,252,0,DEALER,12/21/2012
7LOM8,3026876,234,0,DEALER,12/21/2012
1LOM5CL,3026876,420,0,DEALER,12/21/2012
1LOMSG4,3026876,1120,0,DEALER,12/21/2012
1LOMCHR,3026876,315,0,DEALER,12/21/2012
5TOS4,3026876,216,0,DEALER,12/21/2012
7LOM12,3026876,168,0,DEALER,12/21/2012
1LOM4CL,3026876,105,0,DEALER,12/21/2012
1LSH,3026876,140,0,DEALER,12/21/2012
1LOM5CL,3026877,1680,0,DEALER,1/3/2013
7LOM12,3026877,504,0,DEALER,1/3/2013
4TOS2,3026877,880,0,DEALER,1/3/2013
4TOS4,3026877,960,0,DEALER,1/3/2013
4TOS6,3026877,640,0,DEALER,1/3/2013
4TOS8,3026877,480,0,DEALER,1/3/2013
7POMSE,3026877,900,0,DEALER,1/3/2013
1LOMSLC6,3026877,280,0,DEALER,1/3/2013
1LOM5CL,3026878,315,0,DEALER,1/7/2013
1LOM8CL,3026878,420,0,DEALER,1/7/2013
1LOMSA8,3026878,210,0,DEALER,1/7/2013
1LOMSA12,3026878,140,0,DEALER,1/7/2013
7LSMVF12,3026878,168,0,DEALER,1/7/2013
1POM8088,3026878,37,0,DEALER,1/7/2013
4TOS12,3026879,80,0,DEALER,1/9/2013
4TOS8,3026879,360,0,DEALER,1/9/2013
4TOS4,3026879,240,0,DEALER,1/9/2013
4TOS2,3026879,440,0,DEALER,1/9/2013
1LOM5CL,3026879,735,0,DEALER,1/9/2013
7POMSE,3026879,180,0,DEALER,1/9/2013
7LOM12,3026880,336,0,DEALER,1/7/2013
1LOM5CL,3026880,420,0,DEALER,1/7/2013
1LOMSL8,3026880,210,0,DEALER,1/7/2013
4TOS6,3026880,160,0,DEALER,1/7/2013
1LOMSA8,3026880,210,0,DEALER,1/7/2013
7POM348,3026880,135,0,DEALER,1/7/2013
1LOM5CL,3026881,525,0,DEALER,1/2/2013
7POM347,3026881,90,0,DEALER,1/2/2013
7POM348,3026881,45,0,DEALER,1/2/2013
7POM349,3026881,45,0,DEALER,1/2/2013
5TOS6,3026881,144,0,DEALER,1/2/2013
5TOS8,3026881,216,0,DEALER,1/2/2013
1LOMSG4,3026881,280,0,DEALER,1/2/2013
4TOS2,3026881,440,0,DEALER,1/2/2013
4TOS8,3026881,120,0,DEALER,1/2/2013
5TOS4,3026881,216,0,DEALER,1/2/2013
1LOM4CL,3026881,105,0,DEALER,1/2/2013
7POMSP,3026907,90,0,DEALER,1/11/2013
1LOM5CL,3026908,105,0,DEALER,1/11/2013
4TOS496,3026909,192,0,DEALER,1/11/2013
1LOM5CL,3026909,1050,0,DEALER,1/11/2013
7POMSP,3026909,1575,0,DEALER,1/11/2013
4TOS496,3026910,192,0,DEALER,1/11/2013
1LOMSA8,3026910,420,0,DEALER,1/11/2013
7POMSP,3026910,1575,0,DEALER,1/11/2013
1LOM5CL12,3026910,210,0,DEALER,1/11/2013
4TOS496,3026911,576,0,DEALER,1/11/2013
1LOM5CL,3026911,105,0,DEALER,1/11/2013
7POMSE,3026911,135,0,DEALER,1/11/2013
4TOS496,3026912,384,0,DEALER,1/11/2013
1LOMSA8,3026912,630,0,DEALER,1/11/2013
7POMSP,3026912,1575,0,DEALER,1/11/2013
7POMSE,3026919,360,0,DEALER,1/2/2013
7LOM8,3026919,1512,0,DEALER,1/2/2013
7LOM9,3026920,1890,0,DEALER,1/4/2013
7LOM9,3026920,216,0,DEALER,1/4/2013
7LOMSF,3026920,126,0,DEALER,1/4/2013
4TOS2,3026920,440,0,DEALER,1/4/2013
4TOS6,3026920,960,0,DEALER,1/4/2013
4TOS10,3026920,100,0,DEALER,1/4/2013
5TOS6,3026920,1296,0,DEALER,1/4/2013
5TOS10,3026920,270,0,DEALER,1/4/2013
4TOS4,3026920,960,0,DEALER,1/4/2013
5TOS4,3026920,864,0,DEALER,1/4/2013
5TOS8,3026920,972,0,DEALER,1/4/2013
7PTXA348,3026921,1170,0,DEALER,12/14/2012
7PTXA348,3026922,1170,0,DEALER,12/14/2012
58TOM4DTU,3026923,4032,0,DEALER,1/10/2013
7PTXA348,3026980,1170,0,DEALER,12/14/2012
7LOM12,3026981,336,0,DEALER,1/7/2013
7LSM,3026981,504,0,DEALER,1/7/2013
1LSHCRT,3026981,180,0,DEALER,1/7/2013
1LOM4CL,3026981,105,0,DEALER,1/7/2013
5TOS12,3026982,144,0,DEALER,1/7/2013
5TOS6,3026982,288,0,DEALER,1/7/2013
5TOS8,3026982,216,0,DEALER,1/7/2013
5TOS4,3026982,432,0,DEALER,1/7/2013
7POMSE,3027046,450,0,DEALER,1/2/2013
7LOM6,3027046,336,0,DEALER,1/2/2013
7LOM8,3027046,504,0,DEALER,1/2/2013
7LOM12,3027046,336,0,DEALER,1/2/2013
4TOS2,3027046,880,0,DEALER,1/2/2013
4TOS4,3027046,1200,0,DEALER,1/2/2013
4TOS6,3027046,160,0,DEALER,1/2/2013
4TOS8,3027046,120,0,DEALER,1/2/2013
4TOS12,3027046,80,0,DEALER,1/2/2013
5TOS8,3027046,108,0,DEALER,1/2/2013
5TOS4,3027046,216,0,DEALER,1/2/2013
1LOM5CL,3027046,2205,0,DEALER,1/2/2013
1LSH,3027046,280,0,DEALER,1/2/2013
7PSMSE,3027047,315,0,DEALER,1/7/2013
4TOS4,3027047,240,0,DEALER,1/7/2013
4TOS6,3027047,160,0,DEALER,1/7/2013
4TOS8,3027047,240,0,DEALER,1/7/2013
4TOS12,3027047,80,0,DEALER,1/7/2013
4FOM8,3027047,120,0,DEALER,1/7/2013
4TOS2,3027048,440,0,DEALER,12/27/2012
4TOS2,3027048,432,0,DEALER,12/27/2012
4TOS4,3027048,960,0,DEALER,12/27/2012
4TOS6,3027048,320,0,DEALER,12/27/2012
4TOS8,3027048,480,0,DEALER,12/27/2012
5TOS12,3027048,72,0,DEALER,12/27/2012
5TOS4,3027048,432,0,DEALER,12/27/2012
5TOS6,3027048,288,0,DEALER,12/27/2012
5TOS8,3027048,108,0,DEALER,12/27/2012
1LOM5CL,3027048,1260,0,DEALER,12/27/2012
1LOM5CL,3027048,120,0,DEALER,12/27/2012
7LOM6,3027048,336,0,DEALER,12/27/2012
1LOMCHR,3027048,630,0,DEALER,12/27/2012
1LOMSG4,3027048,840,0,DEALER,12/27/2012
7POMSE,3027048,495,0,DEALER,12/27/2012
4TOS4,3027049,960,0,DEALER,12/27/2012
4TOS8,3027049,360,0,DEALER,12/27/2012
5TOS4,3027049,432,0,DEALER,12/27/2012
5TOS6,3027049,288,0,DEALER,12/27/2012
5TOS8,3027049,216,0,DEALER,12/27/2012
1LOM5CL,3027049,1890,0,DEALER,12/27/2012
1LOM5CL,3027049,102,0,DEALER,12/27/2012
1LOMCHR,3027049,210,0,DEALER,12/27/2012
1LOMSG4,3027049,280,0,DEALER,12/27/2012
7POMSE,3027049,855,0,DEALER,12/27/2012
7LOM6,3027049,336,0,DEALER,12/27/2012
1LOM4CL,3027115,210,0,DEALER,1/4/2013
1LOM5CL,3027115,945,0,DEALER,1/4/2013
1LSH,3027115,280,0,DEALER,1/4/2013
7POMSE,3027115,540,0,DEALER,1/4/2013
4TOS2,3027115,1320,0,DEALER,1/4/2013
4TOS4,3027115,2400,0,DEALER,1/4/2013
4TOS4,3027115,265,0,DEALER,1/4/2013
4TOS6,3027115,960,0,DEALER,1/4/2013
4TOS8,3027115,600,0,DEALER,1/4/2013
4TOS8,3027115,136,0,DEALER,1/4/2013
4TOS12,3027115,160,0,DEALER,1/4/2013
4TOS12,3027115,64,0,DEALER,1/4/2013
5TOS8,3027115,324,0,DEALER,1/4/2013
5TOS4,3027115,648,0,DEALER,1/4/2013
7LOM6,3027116,1344,0,DEALER,1/7/2013
7LOMSF,3027116,1512,0,DEALER,1/7/2013
4TOS4,3027116,480,0,DEALER,1/7/2013
1LOM4CL,3027116,420,0,DEALER,1/7/2013
7POMSE,3027116,2070,0,DEALER,1/7/2013
7POM348,3027127,90,0,DEALER,1/17/2013
7LOM12,3027127,336,0,DEALER,1/17/2013
7POMSE,3027127,180,0,DEALER,1/17/2013
7LSM,3027127,504,0,DEALER,1/17/2013
5TOS4,3027164,216,0,DEALER,1/16/2013
4TOS4,3027164,240,0,DEALER,1/16/2013
7POMSE,3027164,270,0,DEALER,1/16/2013
1LOM5CL,3027164,630,0,DEALER,1/16/2013
1POM8088,3027165,74,0,DEALER,1/16/2013
7LSMVF12,3027165,168,0,DEALER,1/16/2013
7POMSE,3027165,90,0,DEALER,1/16/2013
4TOS4,3027165,960,0,DEALER,1/16/2013
4TOS6,3027165,160,0,DEALER,1/16/2013
5TOS4,3027165,212,0,DEALER,1/16/2013
5TOS6,3027165,144,0,DEALER,1/16/2013
5TOS12,3027165,72,0,DEALER,1/16/2013
7LOM12,3027203,168,0,DEALER,1/18/2013
1LOM5CL,3027203,210,0,DEALER,1/18/2013
7POMSP,3027203,180,0,DEALER,1/18/2013
4TOS496,3027204,384,0,DEALER,1/18/2013
1LOM5CL,3027204,1155,0,DEALER,1/18/2013
7POMSP,3027204,1935,0,DEALER,1/18/2013
4TOS496,3027205,960,0,DEALER,1/18/2013
1LOMSA8,3027205,630,0,DEALER,1/18/2013
7POMSP,3027205,1980,0,DEALER,1/18/2013
7LOM12,3027206,168,0,DEALER,1/18/2013
4TOS496,3027206,960,0,DEALER,1/18/2013
7POMSE,3027206,180,0,DEALER,1/18/2013
4TOS496,3027207,960,0,DEALER,1/18/2013
7POMSP,3027207,1035,0,DEALER,1/18/2013
1LOM5CL12,3027207,210,0,DEALER,1/18/2013
1LOM5CL,3027238,105,0,DEALER,1/17/2013
4TOS4,3027256,480,0,DEALER,1/7/2013
1LOM5CL,3027256,630,0,DEALER,1/7/2013
7POMSE,3027256,270,0,DEALER,1/7/2013
4TOS12,3027256,80,0,DEALER,1/7/2013
4TOS8,3027256,120,0,DEALER,1/7/2013
5TOS8,3027256,108,0,DEALER,1/7/2013
1LOMSG4,3027256,420,0,DEALER,1/7/2013
1LOMSL8,3027257,10080,0,DEALER,1/8/2013
7LOM8,3027258,252,0,DEALER,1/10/2013
7LOM12,3027258,168,0,DEALER,1/10/2013
1LOM4CL,3027258,105,0,DEALER,1/10/2013
1LOM5CL,3027258,1575,0,DEALER,1/10/2013
1LOMSG4,3027258,1680,0,DEALER,1/10/2013
7LSM,3027258,168,0,DEALER,1/10/2013
1LOMCHR,3027258,105,0,DEALER,1/10/2013
1LSH,3027258,980,0,DEALER,1/10/2013
1LSH,3027258,145,0,DEALER,1/10/2013
4TOS4,3027258,1440,0,DEALER,1/10/2013
4TOS6,3027258,160,0,DEALER,1/10/2013
4TOS8,3027258,240,0,DEALER,1/10/2013
4TOS12,3027258,80,0,DEALER,1/10/2013
5TOS4,3027258,648,0,DEALER,1/10/2013
5TOS6,3027258,144,0,DEALER,1/10/2013
5TOS8,3027258,108,0,DEALER,1/10/2013
5TOS12,3027258,72,0,DEALER,1/10/2013
7POMSE,3027258,360,0,DEALER,1/10/2013
7POM348,3027258,90,0,DEALER,1/10/2013
7POM349,3027258,45,0,DEALER,1/10/2013
7POM347,3027258,45,0,DEALER,1/10/2013
1LOM4CL,3027259,210,0,DEALER,1/8/2013
1LOM8CL,3027259,210,0,DEALER,1/8/2013
1LOMSLC6,3027259,140,0,DEALER,1/8/2013
7POM349,3027259,90,0,DEALER,1/8/2013
7POMSE,3027259,45,0,DEALER,1/8/2013
7POM348,3027259,315,0,DEALER,1/8/2013
1LOM126CL,3027260,140,0,DEALER,1/7/2013
1LOMSLC6,3027260,140,0,DEALER,1/7/2013
7POM348,3027260,360,0,DEALER,1/7/2013
4TOS4,3027260,480,0,DEALER,1/7/2013
4TOS12,3027260,80,0,DEALER,1/7/2013
5TOS6,3027260,144,0,DEALER,1/7/2013
5TOS12,3027260,72,0,DEALER,1/7/2013
WXMINV,3027323,1,0,WIP,1/22/2013
1LOMSL8,3027354,9660,0,DEALER,1/15/2013
7POMSE,3027354,180,0,DEALER,1/15/2013
4TOS4,3027355,960,0,DEALER,1/16/2013
4TOS8,3027355,240,0,DEALER,1/16/2013
5TOS6,3027355,720,0,DEALER,1/16/2013
7LOM9,3027414,3570,0,DEALER,1/11/2013
1LOM4CL,3027414,210,0,DEALER,1/11/2013
1LOM5CL,3027414,525,0,DEALER,1/11/2013
7POMSE,3027414,945,0,DEALER,1/11/2013
7POMSE,3027414,26,0,DEALER,1/11/2013
7POMRBB8,3027414,45,0,DEALER,1/11/2013
4TOS2,3027414,2200,0,DEALER,1/11/2013
4TOS12,3027414,240,0,DEALER,1/11/2013
1LSHCRT,3027414,360,0,DEALER,1/11/2013
1LSHFISH,3027414,180,0,DEALER,1/11/2013
1LSHCRT,3027415,180,5.15000009536743,DEALER,1/15/2013
1LOMSL8,3027415,420,21.0699996948242,DEALER,1/15/2013
1LSH,3027415,280,18.6700000762939,DEALER,1/15/2013
1LOM5CL,3027415,630,61.0499992370605,DEALER,1/15/2013
1LOMSA8,3027415,840,43.5800018310547,DEALER,1/15/2013
1PADSL,3027415,3,0.479999989271164,DEALER,1/15/2013
1LOM126CL,3027429,280,0,DEALER,1/24/2013
7PSMSE,3027429,45,0,DEALER,1/24/2013
7POM348,3027429,45,0,DEALER,1/24/2013
7POMSE,3027429,45,0,DEALER,1/24/2013
7LSM,3027449,1848,0,DEALER,1/18/2013
7LOM12,3027449,1848,0,DEALER,1/18/2013
1PADSL,3027449,629,0,DEALER,1/18/2013
1LOM124CL,3027449,420,0,DEALER,1/18/2013
1LOM124CL,3027449,160,0,DEALER,1/18/2013
1LOM126CL,3027449,560,0,DEALER,1/18/2013
1LOMSG4,3027449,1960,0,DEALER,1/18/2013
7LOM12,3027450,840,0,DEALER,1/15/2013
7POMSE,3027450,450,0,DEALER,1/15/2013
4TOS2,3027450,1320,0,DEALER,1/15/2013
4TOS4,3027450,2400,0,DEALER,1/15/2013
4TOS6,3027450,960,0,DEALER,1/15/2013
4TOS10,3027450,500,0,DEALER,1/15/2013
4TOS12,3027450,160,0,DEALER,1/15/2013
5TOS4,3027450,432,0,DEALER,1/15/2013
5TOS6,3027450,432,0,DEALER,1/15/2013
5TOS8,3027450,216,0,DEALER,1/15/2013
4TOS8,3027450,600,0,DEALER,1/15/2013
4FOM8,3027450,600,0,DEALER,1/15/2013
1LOMSA8,3027451,630,0,DEALER,1/17/2013
1LOMSLC6,3027451,280,0,DEALER,1/17/2013
7POM349,3027451,90,0,DEALER,1/17/2013
7POM348,3027451,135,0,DEALER,1/17/2013
1LOMSG4,3027451,140,0,DEALER,1/17/2013
4TOS496,3027451,192,0,DEALER,1/17/2013
5TOS4,3027451,432,0,DEALER,1/17/2013
1PADSL,3027452,37,0,DEALER,1/14/2013
1LOMSG4,3027452,1120,0,DEALER,1/14/2013
7LOM12,3027452,672,0,DEALER,1/14/2013
7POMSE,3027452,225,0,DEALER,1/14/2013
1LSHFISH,3027452,720,0,DEALER,1/14/2013
7LOMSF,3027452,378,0,DEALER,1/14/2013
4TOS2,3027452,880,0,DEALER,1/14/2013
4TOS3,3027452,320,0,DEALER,1/14/2013
4TOS4,3027452,1920,0,DEALER,1/14/2013
4TOS8,3027452,480,0,DEALER,1/14/2013
4TOS10,3027452,200,0,DEALER,1/14/2013
5TOS4,3027452,648,0,DEALER,1/14/2013
5TOS10,3027452,270,0,DEALER,1/14/2013
5TOS12,3027452,144,0,DEALER,1/14/2013
4FOM8,3027452,720,0,DEALER,1/14/2013
58TOM4DTU,3027529,4032,0,DEALER,12/18/2012
7LOMSF,3027530,252,0,DEALER,1/21/2013
1PADSL,3027530,259,0,DEALER,1/21/2013
7POM348,3027530,270,0,DEALER,1/21/2013
7POMSE,3027530,90,0,DEALER,1/21/2013
1PADSL,3027531,37,0,DEALER,1/17/2013
1LOMSA8,3027531,840,0,DEALER,1/17/2013
1LSH,3027531,420,0,DEALER,1/17/2013
7POM348,3027531,180,0,DEALER,1/17/2013
1POM8088,3027531,74,0,DEALER,1/17/2013
7POMSP,3027555,180,0,DEALER,1/28/2013
4TOS496,3027556,192,0,DEALER,1/28/2013
1LOM5CL,3027556,315,0,DEALER,1/28/2013
7POMSP,3027556,1935,0,DEALER,1/28/2013
7POMSP,3027557,1845,0,DEALER,1/28/2013
1LOM5CL12,3027557,315,0,DEALER,1/28/2013
7LOM12,3027558,168,0,DEALER,1/28/2013
4TOS496,3027558,960,0,DEALER,1/28/2013
1LOM5CL,3027558,105,0,DEALER,1/28/2013
7POMSE,3027558,45,0,DEALER,1/28/2013
1LOMSA8,3027559,420,0,DEALER,1/28/2013
7POMSP,3027559,2205,0,DEALER,1/28/2013
58TOM4DTU,3027589,4032,0,DEALER,1/4/2013
1LOMSG4,3027590,1120,0,DEALER,1/15/2013
7POMSE,3027590,540,0,DEALER,1/15/2013
5TOS8,3027590,540,0,DEALER,1/15/2013
4TOS2,3027590,440,0,DEALER,1/15/2013
4TOS8,3027590,1200,0,DEALER,1/15/2013
4TOS10,3027590,500,0,DEALER,1/15/2013
4TOS12,3027590,80,0,DEALER,1/15/2013
4TOS4,3027590,1440,0,DEALER,1/15/2013
4TOS6,3027590,1600,0,DEALER,1/15/2013
5TOS4,3027590,216,0,DEALER,1/15/2013
5TOS6,3027590,144,0,DEALER,1/15/2013
7LSH,3027590,840,0,DEALER,1/15/2013
1PADSL,3027591,37,0,DEALER,1/17/2013
1LOM5CL,3027591,525,0,DEALER,1/17/2013
1LOMSA12,3027591,700,0,DEALER,1/17/2013
1LOM124CL,3027607,280,0,DEALER,1/29/2013
7POMRBB8,3027607,45,0,DEALER,1/29/2013
7PSMSE,3027607,135,0,DEALER,1/29/2013
7POM348,3027607,45,0,DEALER,1/29/2013
7LOM12,3027607,168,0,DEALER,1/29/2013
7LOM6,3027607,336,0,DEALER,1/29/2013
7POMSE,3027607,360,0,DEALER,1/29/2013
7LOM8,3027607,252,0,DEALER,1/29/2013
7LOMSF,3027607,126,0,DEALER,1/29/2013
1LOMSL8,3027649,10080,0,DEALER,1/16/2013
58TOM3DTP,3027650,14256,0,DEALER,1/11/2013
58TOM3DTP,3027650,1008,0,DEALER,1/11/2013
58TOM3DTP,3027650,408,0,DEALER,1/11/2013
58TOM4DTP,3027650,2016,0,DEALER,1/11/2013
58TOM4DTP,3027650,304,0,DEALER,1/11/2013
58TOM5DTP,3027650,480,0,DEALER,1/11/2013
58TOM6DTP,3027650,960,0,DEALER,1/11/2013
58TOM6DTP,3027650,178,0,DEALER,1/11/2013
58TOM4DTU,3027650,864,0,DEALER,1/11/2013
58TOM4DTU,3027650,264,0,DEALER,1/11/2013
4TOS4,3027651,1200,0,DEALER,1/17/2013
4TOS6,3027651,480,0,DEALER,1/17/2013
5TOS4,3027651,216,0,DEALER,1/17/2013
1LOM5CL,3027651,315,0,DEALER,1/17/2013
58TOM4DTU,3027652,4032,0,DEALER,12/26/2012
4TOS2,3027653,440,0,DEALER,1/24/2013
4TOS4,3027653,480,0,DEALER,1/24/2013
4TOS4,3027653,256,0,DEALER,1/24/2013
4TOS6,3027653,320,0,DEALER,1/24/2013
4TOS8,3027653,480,0,DEALER,1/24/2013
4TOS10,3027653,200,0,DEALER,1/24/2013
4TOS12,3027653,80,0,DEALER,1/24/2013
5TOS4,3027653,864,0,DEALER,1/24/2013
7LOM8,3027653,2520,0,DEALER,1/24/2013
7LOM12,3027653,1176,0,DEALER,1/24/2013
7LOMSF,3027653,252,0,DEALER,1/24/2013
7POMSE,3027653,540,0,DEALER,1/24/2013
1LOM4CL,3027653,105,0,DEALER,1/24/2013
1LOMSG4,3027653,1120,0,DEALER,1/24/2013
1LSH,3027654,140,0,DEALER,1/28/2013
1LOM4CL,3027690,105,0,DEALER,1/17/2013
1LOMSLC6,3027690,140,0,DEALER,1/17/2013
1LOM5CL,3027690,420,0,DEALER,1/17/2013
7POM348,3027690,405,0,DEALER,1/17/2013
1LSH,3027691,420,68.9000015258789,DEALER,1/17/2013
4TOS4,3027691,240,22.3299999237061,DEALER,1/17/2013
5TOS10,3027691,90,27.0300006866455,DEALER,1/17/2013
5TOS12,3027691,72,26.4400005340576,DEALER,1/17/2013
1LOM124CL,3027691,30,5.30000019073486,DEALER,1/17/2013
1PADSL,3027692,37,0,DEALER,1/22/2013
7LOM12,3027692,336,0,DEALER,1/22/2013
1LOMCHR,3027692,735,0,DEALER,1/22/2013
1LOM5CL,3027692,630,0,DEALER,1/22/2013
